                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4159,                 2.9229,                 1.6754,                0.00333,                      1,                0.80019,                0.51395,                  0.861,                 3.1946,                 1.3537,                 0.0004,                 0.0004,                 0.0004
                      2,                 0.9629,                 1.9601,                 1.2968,                0.79701,                0.56145,                 0.8347,                0.64095,                0.76165,                 2.4167,                 1.4549,             0.00080376,             0.00080376,             0.00080376
                      3,                0.83219,                 1.5634,                 1.2467,                0.60773,                0.80952,                0.79105,                 0.5503,                0.82746,                 2.2361,                 1.4272,              0.0011909,              0.0011909,              0.0011909
                      4,                0.80833,                 1.4815,                 1.1915,                0.42985,                0.61905,                 0.5175,                0.35571,                  1.018,                 3.1886,                 1.6278,              0.0015614,              0.0015614,              0.0015614
                      5,                 0.9132,                 1.5807,                 1.2347,                0.13021,                0.61905,                0.16766,                0.07422,                 1.3248,                 9.0644,                 1.8964,              0.0018416,              0.0018416,              0.0018416
                      6,                0.96323,                 1.6933,                 1.2548,                0.99141,                0.95238,                   0.99,                0.80144,                0.76048,                 1.9479,                 1.2971,              0.0018416,              0.0018416,              0.0018416
                      7,                0.83358,                 1.5244,                 1.2085,                0.99235,                      1,                  0.995,                0.78797,                0.70476,                  1.785,                 1.2644,               0.001802,               0.001802,               0.001802
                      8,                0.99514,                 1.6089,                 1.3198,                0.58213,                0.71429,                0.74725,                0.57671,                0.74171,                 2.8078,                 1.1671,              0.0017624,              0.0017624,              0.0017624
                      9,                0.91273,                 1.4005,                 1.2139,                      1,                0.79549,                0.88198,                0.73857,                0.70705,                  2.215,                 1.1452,              0.0017228,              0.0017228,              0.0017228
                     10,                0.93101,                 1.4769,                 1.2595,                 0.8695,                0.71429,                0.80516,                0.62307,                 1.0618,                 2.4036,                 1.4585,              0.0016832,              0.0016832,              0.0016832
                     11,                0.89176,                 1.4403,                 1.2183,                0.97484,                0.80952,                0.93355,                  0.747,                0.79431,                 1.5016,                 1.2447,              0.0016436,              0.0016436,              0.0016436
                     12,                0.87793,                  1.357,                 1.2333,                0.94654,                0.95238,                0.98438,                0.76843,                 0.7289,                 1.1738,                 1.2198,               0.001604,               0.001604,               0.001604
                     13,                0.80242,                 1.2925,                 1.2368,                0.91048,                      1,                0.97019,                  0.796,                0.75538,                 1.1649,                 1.2402,              0.0015644,              0.0015644,              0.0015644
                     14,                0.82794,                 1.2171,                 1.1704,                0.98177,                0.85714,                0.97829,                0.71375,                 0.9039,                 1.2065,                 1.3182,              0.0015248,              0.0015248,              0.0015248
                     15,                0.85728,                 1.2615,                 1.2135,                0.94341,                0.80952,                0.94535,                0.65051,                 1.0547,                 1.3882,                 1.3658,              0.0014852,              0.0014852,              0.0014852
                     16,                 0.8001,                 1.2483,                 1.1577,                0.97256,                0.66667,                0.85022,                0.47421,                 1.4105,                 1.7407,                 1.5288,              0.0014456,              0.0014456,              0.0014456
                     17,                0.77879,                 1.2851,                  1.148,                 0.9022,                0.66667,                0.77974,                0.44283,                  1.377,                 1.8311,                 1.5123,               0.001406,               0.001406,               0.001406
                     18,                0.78627,                 1.2351,                 1.1448,                0.83306,                0.95058,                0.92863,                 0.6429,                 1.0493,                 1.3354,                 1.3847,              0.0013664,              0.0013664,              0.0013664
                     19,                0.78599,                 1.2121,                 1.1961,                0.91294,                0.95238,                0.99152,                0.81791,                 0.7259,                 1.0758,                 1.1818,              0.0013268,              0.0013268,              0.0013268
                     20,                 0.7742,                 1.1195,                 1.1703,                 0.8389,                0.99216,                0.96088,                0.80215,                0.70525,                  1.106,                  1.167,              0.0012872,              0.0012872,              0.0012872
                     21,                0.76435,                 1.1242,                 1.1443,                0.94973,                0.89986,                0.97905,                0.83215,                0.64436,                 1.0439,                 1.1085,              0.0012476,              0.0012476,              0.0012476
                     22,                0.71635,                 1.0566,                 1.0932,                      1,                0.90389,                0.99152,                0.83885,                0.58897,                0.93386,                 1.0625,               0.001208,               0.001208,               0.001208
                     23,                0.67704,                 0.9809,                 1.0615,                0.95158,                0.93634,                0.96992,                0.84096,                0.54693,                0.93507,                 1.0066,              0.0011684,              0.0011684,              0.0011684
                     24,                0.79306,                  1.072,                 1.1292,                0.89344,                0.95238,                0.96951,                0.81821,                 0.5633,                 1.0569,                 1.0516,              0.0011288,              0.0011288,              0.0011288
                     25,                0.72012,                 1.2035,                 1.1548,                0.94552,                0.95238,                0.98762,                0.83735,                0.56045,                0.93215,                   1.06,              0.0010892,              0.0010892,              0.0010892
                     26,                0.69848,                 1.0144,                 1.0786,                0.98977,                      1,                  0.995,                0.83537,                0.55979,                0.90222,                 1.0677,              0.0010496,              0.0010496,              0.0010496
                     27,                0.69898,                 1.0085,                 1.0804,                0.90215,                0.90476,                0.95109,                0.74029,                0.71013,                 1.0727,                 1.1951,                0.00101,                0.00101,                0.00101
                     28,                0.66618,                0.96026,                 1.0987,                 0.9077,                0.93705,                0.97688,                0.75311,                0.69547,                0.94688,                   1.17,              0.0009704,              0.0009704,              0.0009704
                     29,                0.66064,                0.92476,                 1.0929,                0.87292,                 0.9818,                0.97414,                0.78753,                0.63171,                0.93585,                  1.089,              0.0009308,              0.0009308,              0.0009308
                     30,                0.64987,                0.93182,                 1.0895,                0.91603,                0.95238,                0.98676,                0.86621,                0.52561,                0.89811,                 1.0266,              0.0008912,              0.0008912,              0.0008912
                     31,                0.66091,                0.99119,                 1.1146,                0.94721,                      1,                0.99091,                0.88089,                0.47696,                0.77426,                0.99177,              0.0008516,              0.0008516,              0.0008516
                     32,                0.65124,                0.87571,                 1.0878,                0.98184,                      1,                  0.995,                0.89874,                0.45593,                0.66823,                0.96307,               0.000812,               0.000812,               0.000812
                     33,                0.65415,                0.82443,                 1.0878,                0.98439,                      1,                  0.995,                0.88911,                0.48018,                0.69146,                0.96508,              0.0007724,              0.0007724,              0.0007724
                     34,                0.62774,                0.80252,                 1.0394,                0.96298,                      1,                  0.995,                0.91419,                0.48627,                0.74216,                0.96039,              0.0007328,              0.0007328,              0.0007328
                     35,                 0.5925,                 0.8196,                 1.0329,                0.98153,                      1,                  0.995,                 0.9135,                0.46696,                 0.7048,                0.95258,              0.0006932,              0.0006932,              0.0006932
                     36,                0.60131,                0.80963,                 1.0475,                0.99398,                      1,                  0.995,                0.90885,                0.46101,                0.67016,                0.95176,              0.0006536,              0.0006536,              0.0006536
                     37,                0.63523,                0.77636,                 1.0754,                0.99631,                      1,                  0.995,                0.91317,                0.49505,                0.68888,                0.98238,               0.000614,               0.000614,               0.000614
                     38,                0.57403,                0.80448,                 1.0552,                0.99552,                      1,                  0.995,                0.90504,                0.49823,                 0.6761,                0.98637,              0.0005744,              0.0005744,              0.0005744
                     39,                0.60113,                0.81107,                  1.048,                0.99194,                      1,                  0.995,                0.90334,                0.50045,                0.64515,                0.98362,              0.0005348,              0.0005348,              0.0005348
                     40,                 0.6474,                0.82609,                 1.0842,                0.98798,                      1,                  0.995,                0.87781,                0.46893,                0.64091,                0.96312,              0.0004952,              0.0004952,              0.0004952
                     41,                0.51635,                 1.0335,                0.98155,                      1,                0.98317,                  0.995,                0.88333,                0.47245,                0.67937,                0.95868,              0.0004556,              0.0004556,              0.0004556
                     42,                0.54843,                0.90812,                 1.0397,                0.99583,                      1,                  0.995,                0.89822,                0.46085,                0.65614,                0.94224,               0.000416,               0.000416,               0.000416
                     43,                0.50534,                0.87045,                0.99923,                0.99376,                      1,                  0.995,                0.91401,                0.45039,                 0.6485,                0.94016,              0.0003764,              0.0003764,              0.0003764
                     44,                0.49656,                0.81481,                0.95954,                  0.994,                      1,                  0.995,                 0.9189,                0.43788,                0.67041,                 0.9393,              0.0003368,              0.0003368,              0.0003368
                     45,                0.50247,                0.83132,                 1.0193,                 0.9956,                      1,                  0.995,                0.92215,                0.44433,                0.67892,                0.94135,              0.0002972,              0.0002972,              0.0002972
                     46,                0.45166,                0.83875,                0.97433,                0.99573,                      1,                  0.995,                0.91253,                0.46515,                0.67753,                0.95974,              0.0002576,              0.0002576,              0.0002576
                     47,                0.51241,                0.84384,                  1.075,                0.99558,                      1,                  0.995,                0.93133,                0.46027,                0.67276,                0.95336,               0.000218,               0.000218,               0.000218
                     48,                0.45622,                 0.7653,                0.97529,                 0.9956,                      1,                  0.995,                0.93134,                0.44192,                0.66212,                0.93821,              0.0001784,              0.0001784,              0.0001784
                     49,                0.45708,                0.76999,                0.98733,                0.99549,                      1,                  0.995,                0.93709,                0.41754,                0.64762,                 0.9175,              0.0001388,              0.0001388,              0.0001388
                     50,                0.45666,                0.76988,                 0.9466,                0.99556,                      1,                  0.995,                0.93752,                0.40916,                0.63594,                0.91038,               9.92e-05,               9.92e-05,               9.92e-05
